iter	Passed	Remaining
739	2597	768
740	2601	765
741	2604	761
742	2607	758
743	2612	754
744	2615	751
745	2618	747
746	2622	744
747	2625	740
748	2628	736
749	2631	733
750	2634	729
751	2638	726
752	2642	722
753	2645	719
754	2648	715
755	2651	712
756	2654	708
757	2658	705
758	2661	701
759	2664	697
760	2667	693
761	2670	690
762	2678	687
763	2684	685
764	2691	682
765	2697	679
766	2702	676
767	2710	674
768	2713	670
769	2718	667
770	2722	663
771	2725	660
772	2728	656
773	2731	652
774	2734	649
775	2738	645
776	2741	642
777	2744	638
778	2748	634
779	2750	631
780	2756	628
781	2759	624
782	2762	621
783	2766	617
784	2771	614
785	2774	610
786	2778	607
787	2781	603
788	2785	600
789	2788	596
790	2792	593
791	2795	589
792	2798	585
793	2801	582
794	2804	578
795	2807	574
796	2810	571
797	2813	567
798	2815	563
799	2819	560
800	2822	556
801	2825	553
802	2828	549
803	2831	545
804	2835	542
805	2838	538
806	2841	535
807	2844	531
808	2849	528
809	2853	524
810	2856	521
811	2859	517
812	2863	514
813	2868	510
814	2871	507
815	2874	503
816	2877	500
817	2881	496
818	2902	496
819	2905	492
820	2908	488
821	2912	485
822	2917	482
823	2920	478
824	2924	474
825	2927	471
826	2932	468
827	2936	464
828	2939	460
829	2942	457
830	2949	454
831	2952	450
832	2955	447
833	2959	443
834	2964	440
835	2968	436
836	2971	433
837	2975	429
838	2981	426
839	2985	422
840	2988	419
841	2991	415
842	2996	412
843	2999	408
844	3003	405
845	3006	401
846	3010	398
847	3014	394
848	3018	391
849	3021	387
850	3026	384
851	3030	380
852	3033	376
853	3037	373
854	3041	369
855	3045	366
856	3048	362
857	3052	359
858	3056	355
859	3060	352
860	3064	348
861	3067	345
862	3070	341
863	3074	338
864	3077	334
865	3080	330
866	3083	327
867	3086	323
868	3090	320
869	3094	316
870	3096	312
871	3099	309
872	3102	305
873	3106	302
874	3109	298
875	3112	294
876	3115	291
877	3118	287
878	3120	284
879	3124	280
880	3127	276
881	3130	273
882	3133	269
883	3136	266
884	3140	262
885	3143	259
886	3146	255
887	3149	251
888	3153	248
889	3156	244
890	3159	241
891	3162	237
892	3165	233
893	3170	230
894	3175	227
895	3178	223
896	3181	219
897	3187	216
898	3193	213
899	3204	210
900	3207	206
901	3211	202
902	3218	199
903	3223	196
904	3226	192
905	3228	188
906	3244	185
907	3261	183
908	3267	179
909	3270	176
910	3275	172
911	3278	168
912	3284	165
913	3288	161
914	3293	158
915	3308	155
916	3311	151
917	3314	148
918	3318	144
919	3324	140
920	3329	137
921	3335	133
922	3340	130
923	3343	126
924	3347	123
925	3350	119
926	3354	115
927	3357	112
928	3364	108
929	3367	105
930	3370	101
931	3373	97
932	3377	94
933	3380	90
934	3383	86
935	3386	83
936	3390	79
937	3395	76
938	3399	72
939	3402	68
940	3404	65
941	3408	61
942	3412	57
943	3416	54
944	3418	50
945	3421	47
946	3425	43
947	3428	39
948	3431	36
949	3434	32
950	3437	28
951	3441	25
952	3444	21
953	3447	18
954	3450	14
955	3452	10
956	3457	7
957	3459	3
958	3462	0
